,symbol,bookValue,marketCap,peRatio,pbRatio,currentRatio,quickRatio,stockPrice,eps,day,month,year,Names
0,DOCU,16812000.0,40083627460.0,-620.8740313,79.86520472,1.133465958,1.07206588,216.83,-0.34923000000000004,31,7,2020,"DocuSign, Inc."
1,ZM,1174472000.0,75452482132.0,405.68249810000003,62.93937843,1.733905786,1.3805896869999998,253.91,0.62588,31,7,2020,"Zoom Video Communications, Inc."
2,DXCM,1480300000.0,38337391023.0,532.4637642,25.57019344,6.3923775670000005,5.871840442000001,412.230011,1.48,30,9,2020,"DexCom, Inc."
3,SPLK,167517000.0,33351308640.0,-127.6253382,19.97705193,2.4969412330000003,2.309982353,209.82,-1.6440299999999999,31,7,2020,Splunk Inc.
4,SGEN,1983359000.0,33934407557.0,53.34198026,15.02832449,3.65182976,3.391775607,195.690002,2.58,30,9,2020,Seagen Inc.
5,CDW,-1969400000.0,16707458040.0,88.35250153,15.82745172,1.470110908,1.218952688,115.7828,1.31046,30,6,2020,CDW Corporation
6,INTC,37718000000.0,211396000000.0,49.43779602,2.835475169,1.663576339,0.609759407,49.939999,1.02,26,9,2020,Intel Corporation
7,XEL,13777000000.0,36299261052.0,60.19777952,2.634772523,0.87343501,1.046437514,69.010002,2.25,30,9,2020,Xcel Energy Inc.
8,GILD,685000000.0,96559700000.0,-28.91874813,5.356393188,2.332733813,2.092767891,76.94,-2.66056,30,6,2020,"Gilead Sciences, Inc."
9,TTWO,1804495000.0,16044408920.0,181.2825142,6.052146156,1.7158581309999998,1.425417221,139.57,0.7699,30,6,2020,"Take-Two Interactive Software, Inc."
10,CHTR,-2648000000.0,1.28e+17,99752998.59,4767797.375,0.395865835,13.69666537,624.340027,6.26e-06,30,9,2020,"Charter Communications, Inc."
11,FISV,-16123000000.0,69249602016.0,250.9043551,2.185081472,1.057453065,0.454799065,103.050003,0.98,30,9,2020,"Fiserv, Inc."
12,AMAT,5938000000.0,57902798600.0,68.84993888,6.051081471,2.858343057,1.8338389730000002,62.8013,0.91215,26,7,2020,"Applied Materials, Inc."
13,MXIM,1065800000.0,17485435163.0,103.1503897,10.21931093,5.280890393,4.618854185,65.529999,0.64,26,9,2020,"Maxim Integrated Products, Inc."
14,MU,37434000000.0,52399232262.0,53.03566018,1.3437078740000001,2.707611153,1.816729465,46.330002,0.87356,3,9,2020,"Micron Technology, Inc."
15,CTSH,5122000000.0,37695058914.0,108.3191348,3.3837575330000003,2.614987864,2.334041262,69.41999799999999,1.98,30,9,2020,Cognizant Technology Solutions Corporation
16,PCAR,9776800000.0,25864239960.0,175.1133376,2.645470907,5.044165517,4.5949241380000005,74.5797,0.42589,30,6,2020,PACCAR Inc
17,PYPL,7268000000.0,206288000000.0,134.82896730000002,11.69434921,1.378635595,1.353731211,174.23,1.29223,30,6,2020,"PayPal Holdings, Inc."
18,INCY,2005951000.0,22918522980.0,78.94826344,9.775008052999999,3.733291046,3.611301084,103.97,1.31694,30,6,2020,Incyte Corporation
19,JD,63253290000.0,120692000000.0,112.4999999,1.431872735,1.05823365,0.612650012,40.5,0.36,31,3,2020,"JD.com, Inc."
20,WBA,-5384000000.0,33434788000.0,89.63750134,1.620138005,0.6676394529999999,0.282526782,38.02,0.43,31,8,2020,"Walgreens Boots Alliance, Inc."
21,COST,17013000000.0,154480000000.0,111.2166605,8.448913886,1.1318628240000002,0.59793109,347.660004,3.12597,30,8,2020,Costco Wholesale Corporation
22,GOOG,184801000000.0,1036710000000.0,148.9742618,5.000491449,3.414471575,3.268015026,1413.61,9.48895,30,6,2020,Alphabet Inc.
23,NXPI,-3463000000.0,34659364000.0,-1925.5202219999999,3.904840469,1.642919965,1.266783934,124.0,-0.92,27,9,2020,NXP Semiconductors N.V.
24,TSLA,15510000000.0,397692000000.0,881.8010627,24.80770253,1.634641407,1.224477522,429.01000999999997,0.45,30,9,2020,"Tesla, Inc."
25,REGN,9057400000.0,73528335000.0,81.94398195,8.118039945,2.123001296,1.60855121,623.65,7.610689999999999,30,6,2020,"Regeneron Pharmaceuticals, Inc."
26,FB,97956000000.0,746415000000.0,95.13318671,6.340003762,5.508958473,5.328198259,261.899994,6.29,30,9,2020,"Facebook, Inc."
27,TXN,3776000000.0,131510000000.0,97.19850965,15.79694697,4.2375286039999995,3.1624713960000004,142.78999299999998,1.47,30,9,2020,Texas Instruments Incorporated
